Keywords	Search Volume (Average)	Search Volume (Feb 2019)	Search Volume (Mar 2019)	Search Volume (Apr 2019)	Search Volume (May 2019)	Search Volume (Jun 2019)	Search Volume (Jul 2019)	Search Volume (Aug 2019)	Search Volume (Sep 2019)	Search Volume (Oct 2019)	Search Volume (Nov 2019)	Search Volume (Dec 2019)	Search Volume (Jan 2020)	Trend	total_volume
reuse me bags	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	10.0	0.0	0.0	0.0	-100.0	30.0
rehuso rae	10.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	-100.0	20.0
define reusable	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	0.0	10.0	10.0	10.0	0.0	120.0
reusan	10.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	30.0
bring it reusable bags	10.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-100.0	20.0
reusable drink bags	10.0	10.0	0.0	0.0	0.0	10.0	10.0	10.0	0.0	10.0	10.0	10.0	0.0	-100.0	80.0
definicion de rehusar	10.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-100.0	20.0
reusa	10.0	0.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	0.0	120.0
green hello	10.0	0.0	0.0	10.0	10.0	0.0	10.0	10.0	0.0	0.0	0.0	0.0	0.0	-100.0	50.0
what is the meaning of reusable	10.0	10.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	-100.0	40.0
reuseables	10.0	10.0	10.0	0.0	10.0	10.0	0.0	10.0	10.0	10.0	10.0	0.0	0.0	-100.0	90.0
home reuseables	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	-100.0	20.0
reuseable things	10.0	0.0	10.0	10.0	0.0	10.0	10.0	0.0	10.0	0.0	0.0	0.0	0.0	-100.0	60.0
rehusar	10.0	10.0	0.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	0.0	120.0
lunch water bottle	10.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-100.0	20.0
bolsas reutilizables	10.0	0.0	0.0	10.0	0.0	10.0	10.0	0.0	0.0	10.0	10.0	10.0	0.0	-100.0	70.0
kijiji home renovations	10.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	-100.0	20.0
eco friendly reusable bags	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	0.0	130.0
lunch bag plastic	10.0	10.0	0.0	0.0	0.0	10.0	10.0	0.0	10.0	0.0	0.0	0.0	10.0	0.0	60.0
reusable water bag	10.0	0.0	0.0	0.0	10.0	10.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	-100.0	40.0
reusar definicion	10.0	0.0	10.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	-100.0	30.0
rehusar sinonimo	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	-100.0	20.0
eco life lunch box	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	10.0	0.0	30.0
el reuso	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	-100.0	20.0
reuse me	10.0	10.0	0.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	0.0	120.0
otra vez definition	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	-100.0	20.0
lunch products	10.0	10.0	10.0	10.0	0.0	0.0	10.0	10.0	10.0	0.0	10.0	10.0	0.0	-100.0	90.0
reusable stuff	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	0.0	130.0
reusable resources	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	0.0	130.0
unique reusable bags	10.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	-100.0	30.0
bolsas reciclables	10.0	10.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	10.0	10.0	10.0	0.0	-100.0	60.0
used building materials	10.0	10.0	0.0	10.0	0.0	10.0	10.0	10.0	10.0	0.0	0.0	10.0	10.0	0.0	90.0
used building supplies	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	-100.0	20.0
second hand building supplies	10.0	10.0	0.0	0.0	10.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	-100.0	40.0
kitchen cabinets edmonton	10.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-100.0	20.0
second hand building materials	10.0	0.0	10.0	10.0	10.0	10.0	0.0	10.0	0.0	10.0	10.0	10.0	10.0	0.0	100.0
